IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Length,Width,Height,Mounting Type,Package/Case,Polarization,Lead Spacing
CAP-1003-0003,MKS2C033301C00KSSD,Wima,CAP FILM PE-M WIMA MKS2 330n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,330n,63V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,40V,MKS 2,7.2,3.5,8.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0004,MKS2C034701C00MSSD,Wima,CAP FILM PE-M WIMA MKS2 470n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,470n,63V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,40V,MKS 2,7.2,3.5,8.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0005,MKS2C036801E00JSSD,Wima,CAP FILM PE-M WIMA MKS2 680n,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,680n,63V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,40V,MKS 2,7.2,4.5,9.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0006,MKS2C041001F00MSSD,Wima,CAP FILM PE-M WIMA MKS2 1u,Device:C,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1u,63V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,40V,MKS 2,7.2,5,10,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0007,MKS2B041501E00JSSD,Wima,CAP FILM PE-M WIMA MKS2 1.5u,Device:C,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1.5u,50V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,30V,MKS 2,7.2,4.5,9.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0008,MKS2B042201F00JSSD,Wima,CAP FILM PE-M WIMA MKS2 2.2u,Device:C,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2.2u,50V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,30V,MKS 2,7.2,5,10,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0009,MKS2B043301H00JSSD,Wima,CAP FILM PE-M WIMA MKS2 3.3u,Device:C,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,3.3u,50V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,30V,MKS 2,7.2,5.5,11.5,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0010,MKS2B044701K00JSSD,Wima,CAP FILM PE-M WIMA MKS2 4.7u,Device:C,Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4.7u,50V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,30V,MKS 2,7.2,7.2,13,Through Hole,Radial,Bi-Polar,5mm
CAP-1003-0011,MKS2B046801M00JSSD,Wima,CAP FILM PE-M WIMA MKS2 6.8u,Device:C,Capacitor_THT:C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2,6.8u,50V,Polyester (Metallized),20.00%,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf,30V,MKS 2,7.2,8.5,14,Through Hole,Radial,Bi-Polar,5mm
CAP-2004-0001,EEA-GA1H1R5H,Panasonic,CAP ALUM POL  20% 50V RADIAL 1.5u,Device:C_Polarized_US,g-cap:CP_Radial_D4.0mm_H7.0mm_P2.50mm,1.5u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,4,4,7,Through Hole,Radial,Polar,2.5mm
