"IPN","MPN","Value","Manufacturer","Series","Capacitance","Description","Length","Width","Height","Footprint","Symbol","Mounting Type","Package / Case","Polarization","Voltage Rating (AC)","Voltage Rating (DC)","supplier","Material","Tolerance","Lead Spacing","Datasheet","Base MPN","Mouser Stocked MPN","Price","Stock"
"CAP-0003-0005","MKS2C036801E00JSSD","680n","Wima","MKS 2","680n","CAP FILM PE-M WIMA MKS2 680n","7.2","4.5","9.5","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 036801E00 SSD","MKS2C036801E00JSSD","$0.517","10"
"CAP-0003-0006","MKS2C041001F00MSSD","1u","Wima","MKS 2","1u","CAP FILM PE-M WIMA MKS2 1u","7.2","5","10","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 041001F00 SSD","MKS2C041001F00MSSD","$0.513","10"
"CAP-0003-0007","MKS2B041501E00JSSD","1.5u","Wima","MKS 2","1.5u","CAP FILM PE-M WIMA MKS2 1.5u","7.2","4.5","9.5","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","30V","50V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 041501E00 SSD","MKS2B041501E00JSSD","$0.944","0"
"CAP-0003-0008","MKS2B042201F00JSSD","2.2u","Wima","MKS 2","2.2u","CAP FILM PE-M WIMA MKS2 2.2u","7.2","5","10","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","30V","50V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 042201F00 SSD","MKS2B042201F00JSSD","$1.09","0"
"CAP-0003-0009","MKS2B043301H00JSSD","3.3u","Wima","MKS 2","3.3u","CAP FILM PE-M WIMA MKS2 3.3u","7.2","5.5","11.5","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","30V","50V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 043301H00 SSD","MKS2B043301H00MSSD","$1.08","0"
"CAP-0003-0010","MKS2B044701K00JSSD","4.7u","Wima","MKS 2","4.7u","CAP FILM PE-M WIMA MKS2 4.7u","7.2","7.2","13","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","30V","50V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 044701K00 SSD","MKS2B044701K00JSSD","$1.65","0"
"CAP-0003-0011","MKS2B046801M00JSSD","6.8u","Wima","MKS 2","6.8u","CAP FILM PE-M WIMA MKS2 6.8u","7.2","8.5","14","Capacitor_THT:C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","30V","50V","Digikey","Polyester (Metallized)","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_MKS_2.pdf","MKS2 046801M00 SSD","MKS2B046801M00KSSD","$2.33","0"
"CAP-0004-0001","EEA-GA1H1R5H","1.5u","Panasonic","GA-A","1.5u","CAP ALUM POL  20% 50V RADIAL 1.5u","4","4","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","50V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1H1R5H","EEA-GA1H1R5H","$0.119","10"
"CAP-0004-0002","EEA-GA1H2R2H","2.2u","Panasonic","GA-A","2.2u","CAP ALUM POL  20% 50V RADIAL 2.2u","4","4","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","50V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1H2R2H","EEA-GA1H2R2H","$0.119","10"
"CAP-0004-0003","EEA-GA1H3R3H","3.3u","Panasonic","GA-A","3.3u","CAP ALUM POL  20% 50V RADIAL 3.3u","4","4","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","50V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1H3R3H","EEA-GA1H3R3H","$0.117","10"
